"id","ts","target_ts","input_cpu","input_ram","input_rps","predicted_cpu","actual_cpu","horizon_seconds","model_version"
1601,"2026-03-27 12:42:35.338758+00","2026-03-27 12:43:35.338758+00",1.2066452069888338,50.78125,23.040921636865473,1.2666674274509493,0.9897003023431536,60,"v20260326-204532-4583"
1602,"2026-03-27 12:42:40.335127+00","2026-03-27 12:43:40.335127+00",1.2066452069888338,50.78125,19.96,1.05321120782685,0.6164183383093944,60,"v20260326-204532-4583"
1603,"2026-03-27 12:42:45.33327+00","2026-03-27 12:43:45.33327+00",0.7908352686604816,50.78125,16.32,0.7864230614353719,1.480695655974121,60,"v20260326-204532-4583"
1604,"2026-03-27 12:42:55.37852+00","2026-03-27 12:43:55.37852+00",0.46596222395427395,49.46875,8.640345613824554,0.3237386751163344,1.5454185533791573,60,"v20260326-204532-4583"
1605,"2026-03-27 12:43:05.385169+00","2026-03-27 12:44:05.385169+00",0.13029644478062938,49.953125,3.9998400063997446,0.10636054192880147,1.0770276503259935,60,"v20260326-204532-4583"
1606,"2026-03-27 12:43:10.343184+00","2026-03-27 12:44:10.343184+00",0.13029644478062938,49.953125,3.6000000000000005,0.13692269129604595,1.0770276503259932,60,"v20260326-204532-4583"
1607,"2026-03-27 12:43:15.327251+00","2026-03-27 12:44:15.327251+00",0.28618739359385675,50.234375,4.6000000000000005,0.2456835882564482,1.0770276503259932,60,"v20260326-204532-4583"
1608,"2026-03-27 12:43:20.330558+00","2026-03-27 12:44:20.330558+00",0.4573993519980161,50.234375,6.679732810687573,0.5813492454668933,0.3692736578232784,60,"v20260326-204532-4583"
1609,"2026-03-27 12:43:25.320372+00","2026-03-27 12:44:25.320372+00",0.7064543565713302,51.02734375,10.00040001600064,1.1606783214110616,0.3692736578232784,60,"v20260326-204532-4583"
1610,"2026-03-27 12:43:30.333957+00","2026-03-27 12:44:30.333957+00",0.7064543565713303,51.02734375,13.92,1.5216723973142037,0.3692736578232784,60,"v20260326-204532-4583"
1611,"2026-03-27 12:43:35.331287+00","2026-03-27 12:44:35.331287+00",0.9897003023431536,51.02734375,17.92,1.6289274457624523,0.13241537376584994,60,"v20260326-204532-4583"
1612,"2026-03-27 12:43:40.336702+00","2026-03-27 12:44:40.336702+00",0.6164183383093944,51.02734375,21.400000000000002,1.2121000531151163,0.13241537376584991,60,"v20260326-204532-4583"
1613,"2026-03-27 12:43:45.334089+00","2026-03-27 12:44:45.334089+00",1.480695655974121,50.2890625,24.320972838913555,1.1599764460812034,0.3055758789830432,60,"v20260326-204532-4583"
1614,"2026-03-27 12:43:50.327281+00","2026-03-27 12:44:50.327281+00",1.0146466982562665,50.2890625,25.8,0.9384342076009761,0.464046611688803,60,"v20260326-204532-4583"
1615,"2026-03-27 12:43:55.312784+00","2026-03-27 12:44:55.312784+00",1.5454185533791573,51.05859375,26.12,1.2241688882116009,0.464046611688803,60,"v20260326-204532-4583"
1616,"2026-03-27 12:44:00.326006+00","2026-03-27 12:45:00.326006+00",1.1603260068529608,51.05859375,25.16,1.2441830854858624,0.32852179874508813,60,"v20260326-204532-4583"
1617,"2026-03-27 12:44:05.313879+00","2026-03-27 12:45:05.313879+00",1.0770276503259935,51.01953125,23.119075236990522,1.1951563607267162,1.1205559686079885,60,"v20260326-204532-4583"
1618,"2026-03-27 12:44:10.345729+00","2026-03-27 12:45:10.345729+00",1.0770276503259932,51.01953125,20.040000000000003,1.0915922764982176,0.837298095676699,60,"v20260326-204532-4583"
1619,"2026-03-27 12:44:15.334792+00","2026-03-27 12:45:15.334792+00",1.0770276503259932,51.01953125,16.44,0.9538501288701355,1.5224692348378104,60,"v20260326-204532-4583"
1620,"2026-03-27 12:44:25.382453+00","2026-03-27 12:45:25.382453+00",0.3692736578232784,49.48046875,8.879644814207433,0.27119110919537237,1.4859178909418673,60,"v20260326-204532-4583"
1621,"2026-03-27 12:44:30.334162+00","2026-03-27 12:45:30.334162+00",0.3692736578232784,49.48046875,6.000240009600384,0.24874047549191738,1.4476882721740656,60,"v20260326-204532-4583"
1622,"2026-03-27 12:44:35.33058+00","2026-03-27 12:45:35.33058+00",0.13241537376584994,50.2265625,4.12,0.13616524489413415,1.237551422959581,60,"v20260326-204532-4583"
1623,"2026-03-27 12:44:40.340035+00","2026-03-27 12:45:40.340035+00",0.13241537376584991,50.2265625,3.6799999999999997,0.15038819510062118,1.063344875028655,60,"v20260326-204532-4583"
