,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8298,8262,2026-03-07 05:20:21.793750+00:00,2026-03-07 05:21:21.79375+00,rps,35.43929121417571,543.8171997070312,36.00072001440029,60,v20260306-_tuned_20260306-181039-0246
8355,8263,2026-03-07 05:20:36.756232+00:00,2026-03-07 05:21:36.756232+00,cpu,0.0078110877321325,0.0646900609135627,0.0075640160992027,60,v20260306-_tuned_20260306-181039-0246
8356,8264,2026-03-07 05:20:36.770337+00:00,2026-03-07 05:21:36.770337+00,ram,39.12890625,49.80145263671875,39.80078125,60,v20260306-_tuned_20260306-181039-0246
8357,8265,2026-03-07 05:20:36.787287+00:00,2026-03-07 05:21:36.787287+00,rps,37.32,541.988037109375,34.72,60,v20260306-_tuned_20260306-181039-0246
8299,8266,2026-03-07 05:20:51.754219+00:00,2026-03-07 05:21:51.754219+00,cpu,0.0079602025160943,0.0650960803031921,0.0075121887713518,60,v20260306-_tuned_20260306-181039-0246
8300,8267,2026-03-07 05:20:51.777504+00:00,2026-03-07 05:21:51.777504+00,ram,39.6015625,49.81153869628906,40.31640625,60,v20260306-_tuned_20260306-181039-0246
8301,8268,2026-03-07 05:20:51.793300+00:00,2026-03-07 05:21:51.7933+00,rps,37.06,543.100341796875,34.92069841396829,60,v20260306-_tuned_20260306-181039-0246
8358,8269,2026-03-07 05:21:06.757854+00:00,2026-03-07 05:22:06.757854+00,cpu,0.0076479966231797,0.0650086775422096,0.0059642427391858,60,v20260306-_tuned_20260306-181039-0246
8359,8270,2026-03-07 05:21:06.772960+00:00,2026-03-07 05:22:06.77296+00,ram,39.5390625,49.80720520019531,39.79296875,60,v20260306-_tuned_20260306-181039-0246
8360,8271,2026-03-07 05:21:06.787902+00:00,2026-03-07 05:22:06.787902+00,rps,35.96,542.9990234375,34.31931361372772,60,v20260306-_tuned_20260306-181039-0246
8302,8272,2026-03-07 05:21:21.751031+00:00,2026-03-07 05:22:21.751031+00,cpu,0.004920375000006,0.0653938725590705,0.0072570959418333,60,v20260306-_tuned_20260306-181039-0246
8303,8273,2026-03-07 05:21:21.765592+00:00,2026-03-07 05:22:21.765592+00,ram,39.79296875,49.82639694213867,39.234375,60,v20260306-_tuned_20260306-181039-0246
8304,8274,2026-03-07 05:21:21.779440+00:00,2026-03-07 05:22:21.77944+00,rps,36.00072001440029,544.7574462890625,34.34,60,v20260306-_tuned_20260306-181039-0246
8361,8275,2026-03-07 05:21:36.763835+00:00,2026-03-07 05:22:36.763835+00,cpu,0.0075640160992027,0.06547861546278,0.0053382000000055,60,v20260306-_tuned_20260306-181039-0246
8362,8276,2026-03-07 05:21:36.778004+00:00,2026-03-07 05:22:36.778004+00,ram,39.80078125,49.83430480957031,40.40625,60,v20260306-_tuned_20260306-181039-0246
8363,8277,2026-03-07 05:21:36.792263+00:00,2026-03-07 05:22:36.792263+00,rps,34.72,544.5551147460938,37.18,60,v20260306-_tuned_20260306-181039-0246
8305,8278,2026-03-07 05:21:51.759954+00:00,2026-03-07 05:22:51.759954+00,cpu,0.0075121887713518,0.0661467984318733,0.0077872196931435,60,v20260306-_tuned_20260306-181039-0246
8306,8279,2026-03-07 05:21:51.773386+00:00,2026-03-07 05:22:51.773386+00,ram,40.31640625,49.87009048461914,39.9375,60,v20260306-_tuned_20260306-181039-0246
8307,8280,2026-03-07 05:21:51.786058+00:00,2026-03-07 05:22:51.786058+00,rps,34.92069841396829,546.2965698242188,37.22,60,v20260306-_tuned_20260306-181039-0246
8364,8281,2026-03-07 05:22:06.758323+00:00,2026-03-07 05:23:06.758323+00,cpu,0.0059642427391858,0.0657182335853576,0.0078753940990973,60,v20260306-_tuned_20260306-181039-0246
